0.000000,1.000000
0.050000,1.000000
0.100000,1.000000
0.150000,1.000000
0.200000,1.000000
0.250000,1.000000
0.300000,1.000000
0.350000,1.000000
0.400000,1.000000
0.450000,1.000000
0.500000,1.000000
0.550000,1.000003
0.600000,0.999896
0.650000,1.002074
0.700000,0.971006
0.750000,-113.920082
0.800000,-1.#INF00
0.850000,-1.#IND00
0.900000,-1.#IND00
0.950000,-1.#IND00
1.000000,-1.#IND00
1.050000,-1.#IND00
1.100000,-1.#IND00
1.150000,-1.#IND00
1.200000,-1.#IND00
1.250000,-1.#IND00
1.300000,-1.#IND00
1.350000,-1.#IND00
1.400000,-1.#IND00
1.450000,-1.#IND00
1.500000,-1.#IND00
1.550000,-1.#IND00
1.600000,-1.#IND00
1.650000,-1.#IND00
1.700000,-1.#IND00
1.750000,-1.#IND00
1.800000,-1.#IND00
1.850000,-1.#IND00
1.900000,-1.#IND00
1.950000,-1.#IND00
2.000000,1.#INF00
