-0.056337,-0.056337,-0.056670,-0.056362,-0.055690,-0.054483,-0.052811,-0.050663,-0.048070,-0.045051,-0.041633,-0.037842,-0.033709,-0.029265,-0.024546,-0.019587,-0.014425,-0.009099,-0.003649,0.001884,0.007459,0.013035,0.018570,0.024024,0.029355,0.034523,0.039490,0.044217,0.048669,0.052811,0.056611,0.060039,0.063066,0.065666,0.067821,0.069498,0.070709,0.071384,0.071693,0.071362,0.071362,
-0.056337,-0.056337,-0.056670,-0.056362,-0.055690,-0.054483,-0.052811,-0.050663,-0.048070,-0.045051,-0.041633,-0.037842,-0.033709,-0.029265,-0.024546,-0.019587,-0.014425,-0.009099,-0.003649,0.001884,0.007459,0.013035,0.018570,0.024024,0.029355,0.034523,0.039490,0.044217,0.048669,0.052811,0.056611,0.060039,0.063066,0.065666,0.067821,0.069498,0.070709,0.071384,0.071693,0.071362,0.071362,
-0.056007,-0.056007,-0.056347,-0.055962,-0.055252,-0.054023,-0.052351,-0.050213,-0.047640,-0.044645,-0.041255,-0.037496,-0.033396,-0.028988,-0.024306,-0.019385,-0.014263,-0.008977,-0.003568,0.001924,0.007457,0.012992,0.018486,0.023899,0.029189,0.034319,0.039247,0.043938,0.048355,0.052463,0.056232,0.059631,0.062635,0.065215,0.067359,0.069037,0.070271,0.070983,0.071370,0.071031,0.071031,
-0.056305,-0.056305,-0.056737,-0.056352,-0.055647,-0.054407,-0.052723,-0.050571,-0.047982,-0.044968,-0.041557,-0.037774,-0.033649,-0.029214,-0.024504,-0.019552,-0.014398,-0.009081,-0.003639,0.001887,0.007454,0.013023,0.018551,0.023997,0.029320,0.034481,0.039440,0.044160,0.048604,0.052739,0.056531,0.059952,0.062974,0.065572,0.067731,0.069420,0.070664,0.071372,0.071760,0.071328,0.071328,
-0.056969,-0.056969,-0.057462,-0.057068,-0.056359,-0.055099,-0.053395,-0.051216,-0.048597,-0.045549,-0.042100,-0.038275,-0.034104,-0.029621,-0.024858,-0.019852,-0.014642,-0.009266,-0.003764,0.001821,0.007450,0.013080,0.018668,0.024174,0.029556,0.034773,0.039787,0.044559,0.049053,0.053234,0.057069,0.060529,0.063586,0.066214,0.068400,0.070111,0.071374,0.072087,0.072482,0.071991,0.071991,
-0.058175,-0.058175,-0.058720,-0.058325,-0.057612,-0.056329,-0.054592,-0.052369,-0.049697,-0.046588,-0.043070,-0.039169,-0.034916,-0.030345,-0.025489,-0.020386,-0.015074,-0.009594,-0.003986,0.001707,0.007444,0.013182,0.018879,0.024491,0.029977,0.035297,0.040409,0.045275,0.049857,0.054121,0.058033,0.061562,0.064681,0.067363,0.069593,0.071336,0.072624,0.073340,0.073737,0.073194,0.073194,
-0.059876,-0.059876,-0.060459,-0.060057,-0.059332,-0.058015,-0.056232,-0.053950,-0.051205,-0.048012,-0.044399,-0.040394,-0.036028,-0.031335,-0.026352,-0.021115,-0.015665,-0.010042,-0.004289,0.001552,0.007437,0.013323,0.019167,0.024925,0.030555,0.036013,0.041260,0.046254,0.050959,0.055337,0.059354,0.062979,0.066183,0.068937,0.071228,0.073018,0.074340,0.075069,0.075472,0.074890,0.074890,
-0.062109,-0.062109,-0.062727,-0.062316,-0.061571,-0.060211,-0.058368,-0.056007,-0.053168,-0.049866,-0.046129,-0.041988,-0.037474,-0.032623,-0.027473,-0.022062,-0.016432,-0.010624,-0.004682,0.001350,0.007428,0.013507,0.019543,0.025490,0.031305,0.036945,0.042366,0.047528,0.052392,0.056919,0.061073,0.064822,0.068137,0.070987,0.073357,0.075208,0.076573,0.077322,0.077735,0.077118,0.077118,
-0.064880,-0.064880,-0.065532,-0.065107,-0.064335,-0.062920,-0.061002,-0.058543,-0.055587,-0.052148,-0.048259,-0.043949,-0.039253,-0.034208,-0.028852,-0.023227,-0.017374,-0.011339,-0.005165,0.001103,0.007418,0.013734,0.020005,0.026185,0.032228,0.038090,0.043727,0.049096,0.054155,0.058866,0.063190,0.067094,0.070545,0.073513,0.075982,0.077909,0.079330,0.080105,0.080533,0.079882,0.079882,
-0.068213,-0.068213,-0.068902,-0.068459,-0.067653,-0.066170,-0.064161,-0.061584,-0.058486,-0.054884,-0.050810,-0.046298,-0.041382,-0.036103,-0.030501,-0.024619,-0.018501,-0.012193,-0.005741,0.000808,0.007405,0.014004,0.020557,0.027015,0.033332,0.039460,0.045355,0.050971,0.056266,0.061197,0.065726,0.069815,0.073432,0.076543,0.079131,0.081149,0.082638,0.083448,0.083894,0.083207,0.083207,
