VARIABLES = "x"	,"y"	,"u"	,"v"	,"p"
0.000000	 0.000000	 0.000000	 0.000000	 -0.056337
0.000000	 0.050000	 0.000000	 0.000000	 -0.056337
0.000000	 0.100000	 0.000000	 0.000000	 -0.056007
0.000000	 0.150000	 0.000000	 0.000000	 -0.056305
0.000000	 0.200000	 0.000000	 0.000000	 -0.056969
0.000000	 0.250000	 0.000000	 0.000000	 -0.058175
0.000000	 0.300000	 0.000000	 0.000000	 -0.059876
0.000000	 0.350000	 0.000000	 0.000000	 -0.062109
0.000000	 0.400000	 0.000000	 0.000000	 -0.064880
0.000000	 0.450000	 0.000000	 0.000000	 -0.068213
0.000000	 0.500000	 0.000000	 0.000000	 -0.072133
0.000000	 0.550000	 0.000000	 0.000000	 -0.076671
0.000000	 0.600000	 0.000000	 0.000000	 -0.081864
0.000000	 0.650000	 0.000000	 0.000000	 -0.087757
0.000000	 0.700000	 0.000000	 0.000000	 -0.094398
0.000000	 0.750000	 0.000000	 0.000000	 -0.101846
0.000000	 0.800000	 0.000000	 0.000000	 -0.110167
0.000000	 0.850000	 0.000000	 0.000000	 -0.119437
0.000000	 0.900000	 0.000000	 0.000000	 -0.129741
0.000000	 0.950000	 0.000000	 0.000000	 -0.141180
0.000000	 1.000000	 0.000000	 0.000000	 -0.153870
0.000000	 1.050000	 0.000000	 0.000000	 -0.167945
0.000000	 1.100000	 0.000000	 0.000000	 -0.183565
0.000000	 1.150000	 0.000000	 0.000000	 -0.200917
0.000000	 1.200000	 0.000000	 0.000000	 -0.220226
0.000000	 1.250000	 0.000000	 0.000000	 -0.241776
0.000000	 1.300000	 0.000000	 0.000000	 -0.265903
0.000000	 1.350000	 0.000000	 0.000000	 -0.293087
0.000000	 1.400000	 0.000000	 0.000000	 -0.323854
0.000000	 1.450000	 0.000000	 0.000000	 -0.359251
0.000000	 1.500000	 0.000000	 0.000000	 -0.400057
0.000000	 1.550000	 0.000000	 0.000000	 -0.449461
0.000000	 1.600000	 0.000000	 0.000000	 -0.507704
0.000000	 1.650000	 0.000000	 0.000000	 -0.587580
0.000000	 1.700000	 0.000000	 0.000000	 -0.679038
0.000000	 1.750000	 0.000000	 0.000000	 -0.843261
0.000000	 1.800000	 0.000000	 0.000000	 -0.977902
0.000000	 1.850000	 0.000000	 0.000000	 -1.426315
0.000000	 1.900000	 0.000000	 0.000000	 -1.367318
0.000000	 1.950000	 0.000000	 0.000000	 -3.077324
0.000000	 2.000000	 1.000000	 0.000000	 0.000000
0.050000	 0.000000	 0.000000	 0.000000	 -0.056337
