VARIABLES = "x"	,"y"	,"u"
0.00	 0.00	 1.000000
0.00	 0.03	 1.000000
0.00	 0.05	 1.000000
0.00	 0.08	 1.000000
0.00	 0.10	 1.000000
0.00	 0.13	 1.000000
0.00	 0.15	 1.000000
0.00	 0.17	 1.000000
0.00	 0.20	 1.000000
0.00	 0.23	 1.000000
0.00	 0.25	 1.000000
0.00	 0.28	 1.000000
0.00	 0.30	 1.000000
0.00	 0.33	 1.000000
0.00	 0.35	 1.000000
0.00	 0.38	 1.000000
0.00	 0.40	 1.000000
0.00	 0.43	 1.000000
0.00	 0.45	 1.000000
0.00	 0.47	 1.000000
0.00	 0.50	 1.000000
0.00	 0.53	 1.000000
0.00	 0.55	 1.000000
0.00	 0.57	 1.000000
0.00	 0.60	 1.000000
0.00	 0.63	 1.000000
0.00	 0.65	 1.000000
0.00	 0.68	 1.000000
0.00	 0.70	 1.000000
0.00	 0.73	 1.000000
0.00	 0.75	 1.000000
0.00	 0.78	 1.000000
0.00	 0.80	 1.000000
0.00	 0.82	 1.000000
0.00	 0.85	 1.000000
0.00	 0.88	 1.000000
0.00	 0.90	 1.000000
0.00	 0.93	 1.000000
0.00	 0.95	 1.000000
0.00	 0.98	 1.000000
0.00	 1.00	 1.000000
0.00	 1.02	 1.000000
0.00	 1.05	 1.000000
0.00	 1.08	 1.000000
0.00	 1.10	 1.000000
0.00	 1.13	 1.000000
0.00	 1.15	 1.000000
0.00	 1.18	 1.000000
0.00	 1.20	 1.000000
0.00	 1.23	 1.000000
0.00	 1.25	 1.000000
0.00	 1.27	 1.000000
0.00	 1.30	 1.000000
0.00	 1.33	 1.000000
0.00	 1.35	 1.000000
0.00	 1.38	 1.000000
0.00	 1.40	 1.000000
0.00	 1.43	 1.000000
0.00	 1.45	 1.000000
0.00	 1.48	 1.000000
0.00	 1.50	 1.000000
0.00	 1.52	 1.000000
0.00	 1.55	 1.000000
0.00	 1.58	 1.000000
0.00	 1.60	 1.000000
0.00	 1.63	 1.000000
0.00	 1.65	 1.000000
0.00	 1.68	 1.000000
0.00	 1.70	 1.000000
0.00	 1.73	 1.000000
0.00	 1.75	 1.000000
0.00	 1.77	 1.000000
0.00	 1.80	 1.000000
0.00	 1.83	 1.000000
0.00	 1.85	 1.000000
0.00	 1.88	 1.000000
0.00	 1.90	 1.000000
0.00	 1.93	 1.000000
0.00	 1.95	 1.000000
0.00	 1.98	 1.000000
0.00	 2.00	 1.000000
0.03	 0.00	 1.000000
0.03	 0.03	 1.000000
0.03	 0.05	 1.000000
0.03	 0.08	 1.000000
0.03	 0.10	 1.000000
0.03	 0.13	 1.000000
0.03	 0.15	 1.000000
0.03	 0.17	 1.000000
0.03	 0.20	 1.000000
0.03	 0.23	 1.000000
0.03	 0.25	 1.000000
0.03	 0.28	 1.000000
0.03	 0.30	 1.000000
0.03	 0.33	 1.000000
0.03	 0.35	 1.000000
0.03	 0.38	 1.000000
0.03	 0.40	 1.000000
0.03	 0.43	 1.000000
0.03	 0.45	 1.000000
0.03	 0.47	 1.000000
0.03	 0.50	 1.000000
0.03	 0.53	 1.000000
0.03	 0.55	 1.000000
0.03	 0.57	 1.000000
0.03	 0.60	 1.000000
0.03	 0.63	 1.000000
0.03	 0.65	 1.000000
0.03	 0.68	 1.000000
0.03	 0.70	 1.000000
0.03	 0.73	 1.000000
0.03	 0.75	 1.000000
0.03	 0.78	 1.000000
0.03	 0.80	 1.000000
0.03	 0.82	 1.000000
0.03	 0.85	 1.000000
0.03	 0.88	 1.000000
0.03	 0.90	 1.000000
0.03	 0.93	 1.000000
0.03	 0.95	 1.000000
0.03	 0.98	 1.000000
0.03	 1.00	 1.000000
0.03	 1.02	 1.000000
0.03	 1.05	 1.000000
0.03	 1.08	 1.000000
0.03	 1.10	 1.000000
0.03	 1.13	 1.000000
0.03	 1.15	 1.000000
0.03	 1.18	 1.000000
0.03	 1.20	 1.000000
0.03	 1.23	 1.000000
0.03	 1.25	 1.000000
0.03	 1.27	 1.000000
0.03	 1.30	 1.000000
0.03	 1.33	 1.000000
0.03	 1.35	 1.000000
0.03	 1.38	 1.000000
0.03	 1.40	 1.000000
0.03	 1.43	 1.000000
0.03	 1.45	 1.000000
0.03	 1.48	 1.000000
0.03	 1.50	 1.000000
0.03	 1.52	 1.000000
0.03	 1.55	 1.000000
0.03	 1.58	 1.000000
0.03	 1.60	 1.000000
0.03	 1.63	 1.000000
0.03	 1.65	 1.000000
0.03	 1.68	 1.000000
0.03	 1.70	 1.000000
0.03	 1.73	 1.000000
0.03	 1.75	 1.000000
0.03	 1.77	 1.000000
0.03	 1.80	 1.000000
0.03	 1.83	 1.000000
0.03	 1.85	 1.000000
0.03	 1.88	 1.000000
0.03	 1.90	 1.000000
0.03	 1.93	 1.000000
0.03	 1.95	 1.000000
0.03	 1.98	 1.000000
0.03	 2.00	 1.000000
0.05	 0.00	 1.000000
0.05	 0.03	 1.000000
0.05	 0.05	 1.000000
0.05	 0.08	 1.000000
0.05	 0.10	 1.000000
0.05	 0.13	 1.000000
0.05	 0.15	 1.000000
0.05	 0.17	 1.000000
0.05	 0.20	 1.000000
0.05	 0.23	 1.000000
0.05	 0.25	 1.000000
0.05	 0.28	 1.000000
0.05	 0.30	 1.000000
0.05	 0.33	 1.000000
0.05	 0.35	 1.000000
0.05	 0.38	 1.000000
0.05	 0.40	 1.000000
0.05	 0.43	 1.000000
0.05	 0.45	 1.000000
0.05	 0.47	 1.000000
0.05	 0.50	 1.000000
0.05	 0.53	 1.000000
0.05	 0.55	 1.000000
0.05	 0.57	 1.000000
0.05	 0.60	 1.000000
0.05	 0.63	 1.000000
0.05	 0.65	 1.000000
0.05	 0.68	 1.000000
0.05	 0.70	 1.000000
0.05	 0.73	 1.000000
0.05	 0.75	 1.000000
0.05	 0.78	 1.000000
0.05	 0.80	 1.000000
0.05	 0.82	 1.000000
0.05	 0.85	 1.000000
0.05	 0.88	 1.000000
0.05	 0.90	 1.000000
0.05	 0.93	 1.000000
0.05	 0.95	 1.000000
0.05	 0.98	 1.000000
0.05	 1.00	 1.000000
0.05	 1.02	 1.000000
0.05	 1.05	 1.000000
0.05	 1.08	 1.000000
0.05	 1.10	 1.000000
0.05	 1.13	 1.000000
0.05	 1.15	 1.000000
0.05	 1.18	 1.000000
0.05	 1.20	 1.000000
0.05	 1.23	 1.000000
0.05	 1.25	 1.000000
0.05	 1.27	 1.000000
0.05	 1.30	 1.000000
0.05	 1.33	 1.000000
0.05	 1.35	 1.000000
0.05	 1.38	 1.000000
0.05	 1.40	 1.000000
0.05	 1.43	 1.000000
0.05	 1.45	 1.000000
0.05	 1.48	 1.000000
0.05	 1.50	 1.000000
0.05	 1.52	 1.000000
0.05	 1.55	 1.000000
0.05	 1.58	 1.000000
0.05	 1.60	 1.000000
0.05	 1.63	 1.000000
0.05	 1.65	 1.000000
0.05	 1.68	 1.000000
0.05	 1.70	 1.000000
0.05	 1.73	 1.000000
0.05	 1.75	 1.000000
0.05	 1.77	 1.000000
0.05	 1.80	 1.000000
0.05	 1.83	 1.000000
0.05	 1.85	 1.000000
0.05	 1.88	 1.000000
0.05	 1.90	 1.000000
0.05	 1.93	 1.000000
0.05	 1.95	 1.000000
0.05	 1.98	 1.000000
0.05	 2.00	 1.000000
0.08	 0.00	 1.000000
0.08	 0.03	 1.000000
0.08	 0.05	 1.000000
0.08	 0.08	 1.000000
0.08	 0.10	 1.000000
0.08	 0.13	 1.000000
0.08	 0.15	 1.000000
0.08	 0.17	 1.000000
0.08	 0.20	 1.000000
0.08	 0.23	 1.000000
0.08	 0.25	 1.000000
0.08	 0.28	 1.000000
0.08	 0.30	 1.000000
0.08	 0.33	 1.000000
0.08	 0.35	 1.000000
0.08	 0.38	 1.000000
0.08	 0.40	 1.000000
0.08	 0.43	 1.000000
0.08	 0.45	 1.000000
0.08	 0.47	 1.000000
0.08	 0.50	 1.000000
0.08	 0.53	 1.000000
0.08	 0.55	 1.000000
0.08	 0.57	 1.000000
0.08	 0.60	 1.000000
0.08	 0.63	 1.000000
0.08	 0.65	 1.000000
0.08	 0.68	 1.000000
0.08	 0.70	 1.000000
0.08	 0.73	 1.000000
0.08	 0.75	 1.000000
0.08	 0.78	 1.000000
0.08	 0.80	 1.000000
0.08	 0.82	 1.000000
0.08	 0.85	 1.000000
0.08	 0.88	 1.000000
0.08	 0.90	 1.000000
0.08	 0.93	 1.000000
0.08	 0.95	 1.000000
0.08	 0.98	 1.000000
0.08	 1.00	 1.000000
0.08	 1.02	 1.000000
0.08	 1.05	 1.000000
0.08	 1.08	 1.000000
0.08	 1.10	 1.000000
0.08	 1.13	 1.000000
0.08	 1.15	 1.000000
0.08	 1.18	 1.000000
0.08	 1.20	 1.000000
0.08	 1.23	 1.000000
0.08	 1.25	 1.000000
0.08	 1.27	 1.000000
0.08	 1.30	 1.000000
0.08	 1.33	 1.000000
0.08	 1.35	 1.000000
0.08	 1.38	 1.000000
0.08	 1.40	 1.000000
0.08	 1.43	 1.000000
0.08	 1.45	 1.000000
0.08	 1.48	 1.000000
0.08	 1.50	 1.000000
0.08	 1.52	 1.000000
0.08	 1.55	 1.000000
0.08	 1.58	 1.000000
0.08	 1.60	 1.000000
0.08	 1.63	 1.000000
0.08	 1.65	 1.000000
0.08	 1.68	 1.000000
0.08	 1.70	 1.000000
0.08	 1.73	 1.000000
0.08	 1.75	 1.000000
0.08	 1.77	 1.000000
0.08	 1.80	 1.000000
0.08	 1.83	 1.000000
0.08	 1.85	 1.000000
0.08	 1.88	 1.000000
0.08	 1.90	 1.000000
0.08	 1.93	 1.000000
0.08	 1.95	 1.000000
0.08	 1.98	 1.000000
0.08	 2.00	 1.000000
0.10	 0.00	 1.000000
0.10	 0.03	 1.000000
0.10	 0.05	 1.000000
0.10	 0.08	 1.000000
0.10	 0.10	 1.000000
0.10	 0.13	 1.000000
0.10	 0.15	 1.000000
0.10	 0.17	 1.000000
0.10	 0.20	 1.000000
0.10	 0.23	 1.000000
0.10	 0.25	 1.000000
0.10	 0.28	 1.000000
0.10	 0.30	 1.000000
0.10	 0.33	 1.000000
0.10	 0.35	 1.000000
0.10	 0.38	 1.000000
