VARIABLES = "x"	,"y"	,"u"
1.93	 1.80	 1.000000
1.93	 1.87	 1.000000
1.93	 1.93	 1.000000
1.93	 2.00	 1.000000
2.00	 0.00	 1.000000
2.00	 0.07	 1.000000
2.00	 0.13	 1.000000
2.00	 0.20	 1.000000
2.00	 0.27	 1.000000
2.00	 0.33	 1.000000
2.00	 0.40	 1.000000
2.00	 0.47	 1.000000
2.00	 0.53	 1.000000
2.00	 0.60	 1.000000
2.00	 0.67	 1.000000
2.00	 0.73	 1.000000
2.00	 0.80	 1.000000
2.00	 0.87	 1.000000
2.00	 0.93	 1.000000
2.00	 1.00	 1.000000
2.00	 1.07	 1.000000
2.00	 1.13	 1.000000
2.00	 1.20	 1.000000
2.00	 1.27	 1.000000
2.00	 1.33	 1.000000
2.00	 1.40	 1.000000
2.00	 1.47	 1.000000
2.00	 1.53	 1.000000
2.00	 1.60	 1.000000
2.00	 1.67	 1.000000
2.00	 1.73	 1.000000
2.00	 1.80	 1.000000
2.00	 1.87	 1.000000
2.00	 1.93	 1.000000
2.00	 2.00	 1.000000
