VARIABLES = "x"	,"y"	,"u"
0.33	 2.00	 1.000000
0.40	 0.00	 1.000000
0.40	 0.07	 1.011027
0.40	 0.13	 1.024042
0.40	 0.20	 1.051406
0.40	 0.27	 1.081007
0.40	 0.33	 1.135003
0.40	 0.40	 1.181698
0.40	 0.47	 1.249224
0.40	 0.53	 1.294541
0.40	 0.60	 1.345836
0.40	 0.67	 1.366963
0.40	 0.73	 1.382475
0.40	 0.80	 1.366963
0.40	 0.87	 1.345836
0.40	 0.93	 1.294541
0.40	 1.00	 1.249224
0.40	 1.07	 1.181699
0.40	 1.13	 1.135012
0.40	 1.20	 1.081042
0.40	 1.27	 1.051597
0.40	 1.33	 1.024597
0.40	 1.40	 1.013108
0.40	 1.47	 1.004782
0.40	 1.53	 1.002082
0.40	 1.60	 1.000555
0.40	 1.67	 1.000191
0.40	 1.73	 1.000035
0.40	 1.80	 1.000009
0.40	 1.87	 1.000001
0.40	 1.93	 1.000000
0.40	 2.00	 1.000000
0.47	 0.00	 1.000000
0.47	 0.07	 1.013236
0.47	 0.13	 1.035166
0.47	 0.20	 1.062760
0.47	 0.27	 1.114377
0.47	 0.33	 1.168128
0.47	 0.40	 1.249224
0.47	 0.47	 1.316091
0.47	 0.53	 1.395810
0.47	 0.60	 1.444631
0.47	 0.67	 1.487793
0.47	 0.73	 1.494292
0.47	 0.80	 1.487793
0.47	 0.87	 1.444631
0.47	 0.93	 1.395810
0.47	 1.00	 1.316091
0.47	 1.07	 1.249226
0.47	 1.13	 1.168139
0.47	 1.20	 1.114440
0.47	 1.27	 1.062980
0.47	 1.33	 1.036078
0.47	 1.40	 1.015674
0.47	 1.47	 1.007367
0.47	 1.53	 1.002438
0.47	 1.60	 1.000913
0.47	 1.67	 1.000219
0.47	 1.73	 1.000063
0.47	 1.80	 1.000010
0.47	 1.87	 1.000002
0.47	 1.93	 1.000000
0.47	 2.00	 1.000000
0.53	 0.00	 1.000000
0.53	 0.07	 1.017670
0.53	 0.13	 1.040302
0.53	 0.20	 1.081906
0.53	 0.27	 1.133121
0.53	 0.33	 1.214392
0.53	 0.40	 1.294541
0.53	 0.47	 1.395810
0.53	 0.53	 1.473814
0.53	 0.60	 1.550179
0.53	 0.67	 1.588393
0.53	 0.73	 1.609057
0.53	 0.80	 1.588393
0.53	 0.87	 1.550179
0.53	 0.93	 1.473814
0.53	 1.00	 1.395810
0.53	 1.07	 1.294543
0.53	 1.13	 1.214408
0.53	 1.20	 1.133190
0.53	 1.27	 1.082225
0.53	 1.33	 1.041313
0.53	 1.40	 1.021063
0.53	 1.47	 1.008299
0.53	 1.53	 1.003393
0.53	 1.60	 1.001011
0.53	 1.67	 1.000319
0.53	 1.73	 1.000068
0.53	 1.80	 1.000016
0.53	 1.87	 1.000002
0.53	 1.93	 1.000000
0.53	 2.00	 1.000000
0.60	 0.00	 1.000000
0.60	 0.07	 1.019192
0.60	 0.13	 1.048805
0.60	 0.20	 1.089883
0.60	 0.27	 1.158610
0.60	 0.33	 1.238166
0.60	 0.40	 1.345836
0.60	 0.47	 1.444631
0.60	 0.53	 1.550179
0.60	 0.60	 1.623116
0.60	 0.67	 1.679034
0.60	 0.73	 1.691923
0.60	 0.80	 1.679034
0.60	 0.87	 1.623116
0.60	 0.93	 1.550179
0.60	 1.00	 1.444632
0.60	 1.07	 1.345839
0.60	 1.13	 1.238183
0.60	 1.20	 1.158698
0.60	 1.27	 1.090221
0.60	 1.33	 1.050079
0.60	 1.40	 1.022825
0.60	 1.47	 1.010253
0.60	 1.53	 1.003633
0.60	 1.60	 1.001274
0.60	 1.67	 1.000338
0.60	 1.73	 1.000088
0.60	 1.80	 1.000016
0.60	 1.87	 1.000003
0.60	 1.93	 1.000000
0.60	 2.00	 1.000000
0.67	 0.00	 1.000000
0.67	 0.07	 1.021694
0.67	 0.13	 1.050835
0.67	 0.20	 1.100650
0.67	 0.27	 1.166729
0.67	 0.33	 1.263798
0.67	 0.40	 1.366963
0.67	 0.47	 1.487793
0.67	 0.53	 1.588393
0.67	 0.60	 1.679034
0.67	 0.67	 1.729565
0.67	 0.73	 1.752172
0.67	 0.80	 1.729565
0.67	 0.87	 1.679034
0.67	 0.93	 1.588393
0.67	 1.00	 1.487793
0.67	 1.07	 1.366966
0.67	 1.13	 1.263816
0.67	 1.20	 1.166818
0.67	 1.27	 1.101038
0.67	 1.33	 1.052140
0.67	 1.40	 1.025848
0.67	 1.47	 1.010582
0.67	 1.53	 1.004154
0.67	 1.60	 1.001306
0.67	 1.67	 1.000388
0.67	 1.73	 1.000090
0.67	 1.80	 1.000019
0.67	 1.87	 1.000003
0.67	 1.93	 1.000000
0.67	 2.00	 1.000000
0.73	 0.00	 1.000000
0.73	 0.07	 1.021501
0.73	 0.13	 1.053856
0.73	 0.20	 1.100401
0.73	 0.27	 1.175225
0.73	 0.33	 1.265288
0.73	 0.40	 1.382475
0.73	 0.47	 1.494292
0.73	 0.53	 1.609057
0.73	 0.60	 1.691923
0.73	 0.67	 1.752172
0.73	 0.73	 1.768043
0.73	 0.80	 1.752172
0.73	 0.87	 1.691923
0.73	 0.93	 1.609057
0.73	 1.00	 1.494293
0.73	 1.07	 1.382479
0.73	 1.13	 1.265307
0.73	 1.20	 1.175320
0.73	 1.27	 1.100783
0.73	 1.33	 1.055253
0.73	 1.40	 1.025593
0.73	 1.47	 1.011289
0.73	 1.53	 1.004092
0.73	 1.60	 1.001397
0.73	 1.67	 1.000382
0.73	 1.73	 1.000095
0.73	 1.80	 1.000019
0.73	 1.87	 1.000003
0.73	 1.93	 1.000000
0.73	 2.00	 1.000000
0.80	 0.00	 1.000000
0.80	 0.07	 1.021694
0.80	 0.13	 1.050835
0.80	 0.20	 1.100650
0.80	 0.27	 1.166729
0.80	 0.33	 1.263798
0.80	 0.40	 1.366963
0.80	 0.47	 1.487793
0.80	 0.53	 1.588393
0.80	 0.60	 1.679034
0.80	 0.67	 1.729565
0.80	 0.73	 1.752172
0.80	 0.80	 1.729565
0.80	 0.87	 1.679034
0.80	 0.93	 1.588393
0.80	 1.00	 1.487793
0.80	 1.07	 1.366966
0.80	 1.13	 1.263816
0.80	 1.20	 1.166818
0.80	 1.27	 1.101038
0.80	 1.33	 1.052140
0.80	 1.40	 1.025848
0.80	 1.47	 1.010582
0.80	 1.53	 1.004154
0.80	 1.60	 1.001306
0.80	 1.67	 1.000388
0.80	 1.73	 1.000090
0.80	 1.80	 1.000019
0.80	 1.87	 1.000003
0.80	 1.93	 1.000000
0.80	 2.00	 1.000000
0.87	 0.00	 1.000000
0.87	 0.07	 1.019192
0.87	 0.13	 1.048805
0.87	 0.20	 1.089883
0.87	 0.27	 1.158610
0.87	 0.33	 1.238166
0.87	 0.40	 1.345836
0.87	 0.47	 1.444631
0.87	 0.53	 1.550179
0.87	 0.60	 1.623116
0.87	 0.67	 1.679034
0.87	 0.73	 1.691923
0.87	 0.80	 1.679034
0.87	 0.87	 1.623116
0.87	 0.93	 1.550179
0.87	 1.00	 1.444632
0.87	 1.07	 1.345839
0.87	 1.13	 1.238183
0.87	 1.20	 1.158698
0.87	 1.27	 1.090221
0.87	 1.33	 1.050079
0.87	 1.40	 1.022825
0.87	 1.47	 1.010253
0.87	 1.53	 1.003633
0.87	 1.60	 1.001274
0.87	 1.67	 1.000338
0.87	 1.73	 1.000088
0.87	 1.80	 1.000016
0.87	 1.87	 1.000003
0.87	 1.93	 1.000000
0.87	 2.00	 1.000000
0.93	 0.00	 1.000000
0.93	 0.07	 1.017670
0.93	 0.13	 1.040302
0.93	 0.20	 1.081906
0.93	 0.27	 1.133121
0.93	 0.33	 1.214392
0.93	 0.40	 1.294541
0.93	 0.47	 1.395810
0.93	 0.53	 1.473814
0.93	 0.60	 1.550179
0.93	 0.67	 1.588393
0.93	 0.73	 1.609057
0.93	 0.80	 1.588393
0.93	 0.87	 1.550179
0.93	 0.93	 1.473814
0.93	 1.00	 1.395810
0.93	 1.07	 1.294543
0.93	 1.13	 1.214408
0.93	 1.20	 1.133190
0.93	 1.27	 1.082225
0.93	 1.33	 1.041313
0.93	 1.40	 1.021063
0.93	 1.47	 1.008299
0.93	 1.53	 1.003393
0.93	 1.60	 1.001011
0.93	 1.67	 1.000319
0.93	 1.73	 1.000068
0.93	 1.80	 1.000016
0.93	 1.87	 1.000002
0.93	 1.93	 1.000000
0.93	 2.00	 1.000000
1.00	 0.00	 1.000000
1.00	 0.07	 1.013236
1.00	 0.13	 1.035166
1.00	 0.20	 1.062760
1.00	 0.27	 1.114377
1.00	 0.33	 1.168128
1.00	 0.40	 1.249224
1.00	 0.47	 1.316091
1.00	 0.53	 1.395810
1.00	 0.60	 1.444632
1.00	 0.67	 1.487793
1.00	 0.73	 1.494293
1.00	 0.80	 1.487793
1.00	 0.87	 1.444632
1.00	 0.93	 1.395810
1.00	 1.00	 1.316091
1.00	 1.07	 1.249226
1.00	 1.13	 1.168139
1.00	 1.20	 1.114440
1.00	 1.27	 1.062980
1.00	 1.33	 1.036078
1.00	 1.40	 1.015674
1.00	 1.47	 1.007367
1.00	 1.53	 1.002438
1.00	 1.60	 1.000913
1.00	 1.67	 1.000219
1.00	 1.73	 1.000063
1.00	 1.80	 1.000010
1.00	 1.87	 1.000002
1.00	 1.93	 1.000000
1.00	 2.00	 1.000000
1.07	 0.00	 1.000000
1.07	 0.07	 1.011027
1.07	 0.13	 1.024042
1.07	 0.20	 1.051406
1.07	 0.27	 1.081007
1.07	 0.33	 1.135004
1.07	 0.40	 1.181699
1.07	 0.47	 1.249226
1.07	 0.53	 1.294543
1.07	 0.60	 1.345839
1.07	 0.67	 1.366966
1.07	 0.73	 1.382479
1.07	 0.80	 1.366966
1.07	 0.87	 1.345839
1.07	 0.93	 1.294543
1.07	 1.00	 1.249226
1.07	 1.07	 1.181700
1.07	 1.13	 1.135013
1.07	 1.20	 1.081042
1.07	 1.27	 1.051598
1.07	 1.33	 1.024597
1.07	 1.40	 1.013108
1.07	 1.47	 1.004782
1.07	 1.53	 1.002082
1.07	 1.60	 1.000555
1.07	 1.67	 1.000191
1.07	 1.73	 1.000035
1.07	 1.80	 1.000009
1.07	 1.87	 1.000001
1.07	 1.93	 1.000000
1.07	 2.00	 1.000000
1.13	 0.00	 1.000000
1.13	 0.07	 1.006570
1.13	 0.13	 1.018741
1.13	 0.20	 1.032095
1.13	 0.27	 1.061656
1.13	 0.33	 1.088133
1.13	 0.40	 1.135012
1.13	 0.47	 1.168139
1.13	 0.53	 1.214408
1.13	 0.60	 1.238183
1.13	 0.67	 1.263816
1.13	 0.73	 1.265307
1.13	 0.80	 1.263816
1.13	 0.87	 1.238183
1.13	 0.93	 1.214408
1.13	 1.00	 1.168139
1.13	 1.07	 1.135013
1.13	 1.13	 1.088136
1.13	 1.20	 1.061686
1.13	 1.27	 1.032187
1.13	 1.33	 1.019196
1.13	 1.40	 1.007694
1.13	 1.47	 1.003826
1.13	 1.53	 1.001125
1.13	 1.60	 1.000455
1.13	 1.67	 1.000092
1.13	 1.73	 1.000029
1.13	 1.80	 1.000004
1.13	 1.87	 1.000001
1.13	 1.93	 1.000000
1.13	 2.00	 1.000000
1.20	 0.00	 1.000000
1.20	 0.07	 1.004856
1.20	 0.13	 1.010022
1.20	 0.20	 1.023138
1.20	 0.27	 1.035187
1.20	 0.33	 1.061683
1.20	 0.40	 1.081042
1.20	 0.47	 1.114440
1.20	 0.53	 1.133190
1.20	 0.60	 1.158698
1.20	 0.67	 1.166818
1.20	 0.73	 1.175320
1.20	 0.80	 1.166818
1.20	 0.87	 1.158698
