VARIABLES = "x"	,"y"	,"u"	,"v"
0.15	 0.45	 1.000000	 1.000000
0.15	 0.50	 1.000000	 1.000000
0.15	 0.55	 1.000000	 1.000000
0.15	 0.60	 1.000000	 1.000000
0.15	 0.65	 1.000000	 1.000000
0.15	 0.70	 1.000000	 1.000000
0.15	 0.75	 1.000000	 1.000000
0.15	 0.80	 1.000000	 1.000000
0.15	 0.85	 1.000000	 1.000000
0.15	 0.90	 1.000000	 1.000000
0.15	 0.95	 1.000000	 1.000000
0.15	 1.00	 1.000000	 1.000000
0.15	 1.05	 1.000000	 1.000000
0.15	 1.10	 1.000000	 1.000000
0.15	 1.15	 1.000000	 1.000000
0.15	 1.20	 1.000000	 1.000000
0.15	 1.25	 1.000000	 1.000000
0.15	 1.30	 1.000000	 1.000000
0.15	 1.35	 1.000000	 1.000000
0.15	 1.40	 1.000000	 1.000000
0.15	 1.45	 1.000000	 1.000000
0.15	 1.50	 1.000000	 1.000000
0.15	 1.55	 1.000000	 1.000000
0.15	 1.60	 1.000000	 1.000000
0.15	 1.65	 1.000000	 1.000000
0.15	 1.70	 1.000000	 1.000000
0.15	 1.75	 1.000000	 1.000000
0.15	 1.80	 1.000000	 1.000000
0.15	 1.85	 1.000000	 1.000000
0.15	 1.90	 1.000000	 1.000000
0.15	 1.95	 1.000000	 1.000000
0.15	 2.00	 1.000000	 1.000000
0.20	 0.00	 1.000000	 1.000000
0.20	 0.05	 1.000000	 1.000000
0.20	 0.10	 1.000000	 1.000000
0.20	 0.15	 1.000000	 1.000000
0.20	 0.20	 1.000000	 1.000000
0.20	 0.25	 1.000000	 1.000000
0.20	 0.30	 1.000000	 1.000000
0.20	 0.35	 1.000000	 1.000000
0.20	 0.40	 1.000000	 1.000000
0.20	 0.45	 1.000000	 1.000000
0.20	 0.50	 1.000000	 1.000000
0.20	 0.55	 1.000000	 1.000000
0.20	 0.60	 1.000000	 1.000000
0.20	 0.65	 1.000000	 1.000000
0.20	 0.70	 1.000000	 1.000000
0.20	 0.75	 1.000000	 1.000000
0.20	 0.80	 1.000000	 1.000000
0.20	 0.85	 1.000000	 1.000000
0.20	 0.90	 1.000000	 1.000000
0.20	 0.95	 1.000000	 1.000000
0.20	 1.00	 1.000000	 1.000000
0.20	 1.05	 1.000000	 1.000000
0.20	 1.10	 1.000000	 1.000000
0.20	 1.15	 1.000000	 1.000000
0.20	 1.20	 1.000000	 1.000000
0.20	 1.25	 1.000000	 1.000000
0.20	 1.30	 1.000000	 1.000000
0.20	 1.35	 1.000000	 1.000000
0.20	 1.40	 1.000000	 1.000000
0.20	 1.45	 1.000000	 1.000000
0.20	 1.50	 1.000000	 1.000000
0.20	 1.55	 1.000000	 1.000000
0.20	 1.60	 1.000000	 1.000000
0.20	 1.65	 1.000000	 1.000000
0.20	 1.70	 1.000000	 1.000000
0.20	 1.75	 1.000000	 1.000000
0.20	 1.80	 1.000000	 1.000000
0.20	 1.85	 1.000000	 1.000000
0.20	 1.90	 1.000000	 1.000000
0.20	 1.95	 1.000000	 1.000000
0.20	 2.00	 1.000000	 1.000000
0.25	 0.00	 1.000000	 1.000000
0.25	 0.05	 1.000000	 1.000000
0.25	 0.10	 1.000000	 1.000000
0.25	 0.15	 1.000000	 1.000000
0.25	 0.20	 1.000000	 1.000000
0.25	 0.25	 1.000000	 1.000000
0.25	 0.30	 1.000000	 1.000000
0.25	 0.35	 1.000000	 1.000000
0.25	 0.40	 1.000000	 1.000000
0.25	 0.45	 1.000000	 1.000000
0.25	 0.50	 1.000000	 1.000000
0.25	 0.55	 1.000000	 1.000000
0.25	 0.60	 1.000000	 1.000000
0.25	 0.65	 1.000000	 1.000000
0.25	 0.70	 1.000000	 1.000000
0.25	 0.75	 1.000000	 1.000000
0.25	 0.80	 1.000000	 1.000000
0.25	 0.85	 1.000000	 1.000000
0.25	 0.90	 1.000000	 1.000000
0.25	 0.95	 1.000000	 1.000000
0.25	 1.00	 1.000000	 1.000000
0.25	 1.05	 1.000000	 1.000000
0.25	 1.10	 1.000000	 1.000000
0.25	 1.15	 1.000000	 1.000000
0.25	 1.20	 1.000000	 1.000000
0.25	 1.25	 1.000000	 1.000000
0.25	 1.30	 1.000000	 1.000000
0.25	 1.35	 1.000000	 1.000000
0.25	 1.40	 1.000000	 1.000000
0.25	 1.45	 1.000000	 1.000000
0.25	 1.50	 1.000000	 1.000000
0.25	 1.55	 1.000000	 1.000000
0.25	 1.60	 1.000000	 1.000000
0.25	 1.65	 1.000000	 1.000000
0.25	 1.70	 1.000000	 1.000000
0.25	 1.75	 1.000000	 1.000000
0.25	 1.80	 1.000000	 1.000000
0.25	 1.85	 1.000000	 1.000000
0.25	 1.90	 1.000000	 1.000000
0.25	 1.95	 1.000000	 1.000000
0.25	 2.00	 1.000000	 1.000000
0.30	 0.00	 1.000000	 1.000000
0.30	 0.05	 1.000000	 1.000000
0.30	 0.10	 1.000000	 1.000000
0.30	 0.15	 1.000000	 1.000000
0.30	 0.20	 1.000000	 1.000000
0.30	 0.25	 1.000000	 1.000000
0.30	 0.30	 1.000000	 1.000000
0.30	 0.35	 1.000000	 1.000000
0.30	 0.40	 1.000000	 1.000000
0.30	 0.45	 1.000000	 1.000000
0.30	 0.50	 1.000000	 1.000000
0.30	 0.55	 1.000000	 1.000000
0.30	 0.60	 1.000000	 1.000000
0.30	 0.65	 1.000000	 1.000000
0.30	 0.70	 1.000000	 1.000000
0.30	 0.75	 1.000000	 1.000000
0.30	 0.80	 1.000000	 1.000000
0.30	 0.85	 1.000000	 1.000000
0.30	 0.90	 1.000000	 1.000000
0.30	 0.95	 1.000000	 1.000000
0.30	 1.00	 1.000000	 1.000000
0.30	 1.05	 1.000000	 1.000000
0.30	 1.10	 1.000000	 1.000000
0.30	 1.15	 1.000000	 1.000000
0.30	 1.20	 1.000000	 1.000000
0.30	 1.25	 1.000000	 1.000000
0.30	 1.30	 1.000000	 1.000000
0.30	 1.35	 1.000000	 1.000000
0.30	 1.40	 1.000000	 1.000000
0.30	 1.45	 1.000000	 1.000000
0.30	 1.50	 1.000000	 1.000000
0.30	 1.55	 1.000000	 1.000000
0.30	 1.60	 1.000000	 1.000000
0.30	 1.65	 1.000000	 1.000000
0.30	 1.70	 1.000000	 1.000000
0.30	 1.75	 1.000000	 1.000000
0.30	 1.80	 1.000000	 1.000000
0.30	 1.85	 1.000000	 1.000000
0.30	 1.90	 1.000000	 1.000000
0.30	 1.95	 1.000000	 1.000000
0.30	 2.00	 1.000000	 1.000000
0.35	 0.00	 1.000000	 1.000000
0.35	 0.05	 1.000000	 1.000000
0.35	 0.10	 1.000000	 1.000000
0.35	 0.15	 1.000000	 1.000000
0.35	 0.20	 1.000000	 1.000000
0.35	 0.25	 1.000000	 1.000000
0.35	 0.30	 1.000000	 1.000000
0.35	 0.35	 1.000000	 1.000000
0.35	 0.40	 1.000000	 1.000000
0.35	 0.45	 1.000000	 1.000000
0.35	 0.50	 1.000000	 1.000000
0.35	 0.55	 1.000000	 1.000000
0.35	 0.60	 1.000000	 1.000000
0.35	 0.65	 1.000000	 1.000000
0.35	 0.70	 1.000000	 1.000000
0.35	 0.75	 1.000000	 1.000000
0.35	 0.80	 1.000000	 1.000000
0.35	 0.85	 1.000000	 1.000000
0.35	 0.90	 1.000000	 1.000000
0.35	 0.95	 1.000000	 1.000000
0.35	 1.00	 1.000000	 1.000000
0.35	 1.05	 1.000000	 1.000000
0.35	 1.10	 1.000000	 1.000000
0.35	 1.15	 1.000000	 1.000000
0.35	 1.20	 1.000000	 1.000000
0.35	 1.25	 1.000000	 1.000000
0.35	 1.30	 1.000000	 1.000000
0.35	 1.35	 1.000000	 1.000000
0.35	 1.40	 1.000000	 1.000000
0.35	 1.45	 1.000000	 1.000000
0.35	 1.50	 1.000000	 1.000000
0.35	 1.55	 1.000000	 1.000000
0.35	 1.60	 1.000000	 1.000000
0.35	 1.65	 1.000000	 1.000000
0.35	 1.70	 1.000000	 1.000000
0.35	 1.75	 1.000000	 1.000000
0.35	 1.80	 1.000000	 1.000000
0.35	 1.85	 1.000000	 1.000000
0.35	 1.90	 1.000000	 1.000000
0.35	 1.95	 1.000000	 1.000000
0.35	 2.00	 1.000000	 1.000000
0.40	 0.00	 1.000000	 1.000000
0.40	 0.05	 1.000000	 1.000000
0.40	 0.10	 1.000000	 1.000000
0.40	 0.15	 1.000000	 1.000000
0.40	 0.20	 1.000000	 1.000000
0.40	 0.25	 1.000000	 1.000000
0.40	 0.30	 1.000000	 1.000000
